62774,103231,77362,87168,65546,64837,100699,79446,78102,106565
104092,143076,104700,116499,108245,105404,111111,102952,116850,137812
80351,112851,89506,113885,106031,70235,110622,113206,108800,128697
99522,134130,73169,134186,117714,92878,94532,93013,119127,132703
59531,102746,91679,111350,80539,84693,96078,95750,100977,100451
58504,76982,52076,91449,80797,69246,61569,67044,80635,78006
76170,104312,93950,114861,89779,101530,87014,86355,103758,119713
91610,118384,90636,107837,91120,90247,84871,92649,98589,132659
85943,110673,73451,114414,100843,111663,77908,73117,109267,99401
82570,94427,57213,81175,79305,78718,68662,65283,66888,114029
